class,student,grade
math125-001,NO,78.5
math125-001,AQ,74.5
math125-001,GD,76.3
math125-001,HR,80.2
math125-001,JC,73.4
math125-001,LO,72.9
math125-001,FP,69.1
math125-001,AF,71.9
math125-001,HF,74.8
math125-001,GF,70.8
math125-001,PX,89.2
math125-001,PP,76.2
math125-002,MP,65.9
math125-002,BL,69.9
math125-002,DE,65.5
math125-002,CH,68.7
math125-002,ON,66.0
math125-002,DO,84.5
math125-002,LF,64.1
math125-002,SC,67.5
math125-002,SV,72.5
math125-002,HC,73.8
math125-002,HL,64.2
math125-002,IX,79.3
math125-002,LK,62.4
math125-002,DD,71.2
math125-003,OM,71.9
math125-003,IW,75.4
math125-003,KM,72.3
math125-003,HV,77.0
math125-003,FF,71.3
math125-003,OR,78.8
math125-003,CW,70.5
math125-003,BN,71.7
math125-003,TC,66.8
math125-003,LN,79.8
math125-003,KY,76.8
math125-003,YB,78.1
math125-003,FU,77.9
math125-003,HO,75.7
math125-003,WA,86.1
math125-003,DL,71.9
math125-003,BM,75.1
math320-001,PX,98.1
math320-001,FX,71.1
math320-001,QG,77.6
math320-001,SQ,80.2
math320-001,XN,73.4
math320-001,CO,69.6
math320-001,UJ,76.8
math320-001,MW,71.2
math320-001,PV,79.1
math320-001,PR,68.6
math320-001,YI,86.8
math320-001,YX,69.7
math321-001,PP,90.1
math321-001,AA,90.9
